drug1,drug2,side_effect,PRR
ascorbic acid,salmeterol,Pulmonary mass,50.0
rizatriptan,ketorolac,Cholecystitis chronic,50.0
tadalafil,dihydrocodeine,Renal failure acute,50.0
"sennosides, usp",clopidogrel,Intervertebral disc degeneration,50.0
brimonidine,tiotropium,Intraocular pressure increased,50.0
ceftriaxone,daclizumab,Gastroenteritis,50.0
itraconazole,tiotropium,Ascites,50.0
chlorpromazine,rabeprazole,Type 2 diabetes mellitus,50.0
remifentanil,karaya gum,Renal failure acute,50.0
clonazepam,dronedarone,Atrial fibrillation,50.0
rabeprazole,ofloxacin,Back pain,50.0
loperamide,vorinostat,Renal failure acute,50.0
propoxyphene,mupirocin,Pleural effusion,50.0
acetaminophen,quinidine,Cardiac failure congestive,50.0
lansoprazole,betahistine,Dysphonia,50.0
buprenorphine,verapamil,Hypercholesterolaemia,50.0
infliximab,lisinopril,Tooth abscess,50.0
cholestyramine resin,prednisone,Irritable bowel syndrome,50.0
naproxen,iron,Extra dose administered,50.0
ceftriaxone,vitamin k 2,Cardio-respiratory arrest,50.0
esomeprazole,omalizumab,Rhinitis allergic,50.0
alemtuzumab,isoniazid,Renal impairment,50.0
flurazepam,ciprofloxacin,Anuria,50.0
thiamine,alprazolam,Atelectasis,50.0
geranylgeranylacetone,esomeprazole,Platelet count decreased,50.0
loratadine,finasteride,Haemorrhoids,50.0
polyethylene glycol 3350,pegfilgrastim,Pancytopenia,50.0
caspofungin,vitamin k 1,Stevens-Johnson syndrome,50.0
alendronate,itraconazole,Hepatic function abnormal,50.0
prednisolone,dactinomycin,Neutropenia,50.0
timolol,nepafenac,Vision blurred,50.0
ipratropium,carbomer,International normalised ratio increased,50.0
irbesartan,labetalol,Petechiae,50.0
insulin lispro,ketorolac,Dehydration,50.0
morphine,carbamazepine,Urinary incontinence,50.0
bupivacaine,isoflurane,Procedural complication,50.0
hydrocortisone,nefazodone,Chronic obstructive pulmonary disease,50.0
etanercept,nifedipine,Pneumocystis jiroveci pneumonia,50.0
sotalol,acyclovir,Gastrooesophageal reflux disease,50.0
alemtuzumab,levothyroxine,Herpes zoster,50.0
nicotine,sildenafil,Eye swelling,50.0
dapsone,leucovorin,Pulmonary haemorrhage,50.0
coenzyme q10,levofloxacin,Visual impairment,50.0
oxycodone,desonide,Neuropathy peripheral,50.0
ondansetron,dexrazoxane,Cardiac failure,50.0
bortezomib,hydroxyzine,Multiple myeloma,50.0
repaglinide,sevelamer,Cardio-respiratory arrest,50.0
candesartan,mitoxantrone,Disorientation,50.0
polyethylene glycol 3350,raltegravir,Neutropenia,50.0
perphenazine,clopidogrel,Type 2 diabetes mellitus,50.0
glipizide,peginterferon alfa-2b,Rash generalised,50.0
propoxyphene,granisetron,Dehydration,50.0
buflomedil,potassium chloride,Renal failure acute,50.0
mitoxantrone,celecoxib,Abdominal pain,50.0
lamotrigine,meclizine,Migraine,50.0
darunavir,ketoprofen,Neutropenia,50.0
thiamine,ondansetron,Device related infection,50.0
aprotinin,mycophenolate mofetil,Injury,50.0
oxycodone,paricalcitol,Mobility decreased,50.0
paclitaxel,vincristine,Febrile neutropenia,50.0
clonazepam,nisoldipine,Completed suicide,50.0
xipamide,formoterol,Clostridium difficile colitis,50.0
valproate,leflunomide,Rheumatoid arthritis,50.0
lercanidipine,ofloxacin,Renal failure acute,50.0
metformin,ciclesonide,Asthma,50.0
sulfamethoxazole,letrozole,Renal failure acute,50.0
ibuprofen,vitamin d,Bone lesion,50.0
niacin,ramipril,Diabetes mellitus non-insulin-dependent,50.0
sulfamethoxazole,nalbuphine,Multi-organ failure,50.0
"albumin human, usp",amikacin,Thrombocytopenia,50.0
chlorpheniramine,buspirone,Hyperlipidaemia,50.0
penicillin v,rituximab,Neutropenic sepsis,50.0
norepinephrine,insulin glargine,Emotional distress,50.0
docusate,meclizine,Sleep apnoea syndrome,50.0
montelukast,rituximab,Hypoxia,50.0
benzonatate,bupropion,Bronchitis,50.0
acetate,ondansetron,Urinary tract infection,50.0
zonisamide,loxoprofen,Neutrophil count decreased,50.0
aspirin,probenecid,Gout,50.0
polyethylene glycol 9000,dutasteride,Dehydration,50.0
pantoprazole,decitabine,Febrile neutropenia,50.0
butalbital,formoterol,Blood potassium decreased,50.0
flunisolide,potassium chloride,Atelectasis,50.0
imipramine,meloxicam,Serotonin syndrome,50.0
raltegravir,nefopam,Convulsion,50.0
phenobarbital,dexamethasone,Brain oedema,50.0
rabeprazole,etodolac,Acute myocardial infarction,50.0
simvastatin,ketoprofen,Tooth loss,50.0
olanzapine,"sennosides, usp",Intestinal obstruction,50.0
polyethylene glycol 3350,nitrofurantoin,Presyncope,50.0
eletriptan,fentanyl,Hypotension,50.0
ertapenem,mirtazapine,Somnolence,50.0
ipilimumab,olmesartan,Colitis,50.0
terbutaline,fexofenadine,Gastrointestinal inflammation,50.0
metformin,nesiritide,Hypotension,50.0
amikacin,magnesium oxide,Hypokalaemia,50.0
phenytoin,amphotericin b,Febrile neutropenia,50.0
losartan,glucosamine,Arteriosclerosis coronary artery,50.0
gentamicin,fluorouracil,Neutropenia,50.0
enoxaparin,amphotericin b,Purpura,50.0
sumatriptan,ranitidine,Impaired gastric emptying,50.0
sumatriptan,ziprasidone,Blood cholesterol increased,50.0
promethazine,mesna,Respiratory failure,50.0
bisacodyl,vincristine,Tachycardia,50.0
amantadine,cetirizine,Multiple sclerosis,50.0
nilotinib,cetirizine,Dry skin,50.0
geranylgeranylacetone,bepotastine,Haemoglobin decreased,50.0
tacrolimus,sodium ferric gluconate complex,Skin induration,50.0
amantadine,fluvoxamine,Respiratory failure,50.0
hydrocortisone,haloperidol,Blood potassium decreased,50.0
buprenorphine,carbazochrome,Renal impairment,50.0
fexofenadine,doxepin,Tongue discolouration,50.0
rosiglitazone,oxaprozin,Diabetes mellitus,50.0
enoxaparin,oxytocin,Drug exposure during pregnancy,50.0
prednisolone,clofazimine,Abdominal pain,50.0
bisacodyl,aluminum hydroxide,Cough,50.0
hydrocortisone,hydroxocobalamin,Psychotic disorder,50.0
sipuleucel-t,bicalutamide,Infusion related reaction,50.0
linezolid,atorvastatin,Drug reaction with eosinophilia and systemic symptoms,50.0
filgrastim,azathioprine,Neutropenia,50.0
phloroglucinol,alfuzosin,Neutropenia,50.0
nizatidine,alendronate,Osteoporosis,50.0
tramadol,omega-3 acid ethyl esters (usp),Cellulitis,50.0
nabumetone,levothyroxine,Humerus fracture,50.0
deflazacort,lansoprazole,Epistaxis,50.0
valsartan,carboplatin,Blood urea increased,50.0
colchicine,everolimus,Cytolytic hepatitis,50.0
rofecoxib,cefprozil,Myocardial infarction,50.0
octreotide,allopurinol,Febrile neutropenia,50.0
haloperidol,metolazone,Pulmonary hypertension,50.0
ascorbic acid,mupirocin,Cellulitis,50.0
nedocromil,verapamil,Drug interaction,50.0
azithromycin,phenylephrine,Upper respiratory tract infection,50.0
salmeterol,cholecalciferol,Bone disorder,50.0
sulpiride,buspirone,Coma,50.0
hydrocodone,modafinil,Narcolepsy,50.0
aspirin,fluvastatin,Ureteric stenosis,50.0
spiramycin,leucovorin,Cardiac arrest,50.0
levonorgestrel,insulin glargine,Uterine perforation,50.0
ceftriaxone,"insulin, aspart, human",Cardiomegaly,50.0
vitamin b complex,varenicline,Dysgeusia,50.0
olmesartan,zolpidem,Varicose vein,50.0
torsemide,interferon beta-1a,Influenza like illness,50.0
doxazosin,dicyclomine,Dehydration,50.0
dorzolamide,salmeterol,Atrial fibrillation,50.0
diosmin,spironolactone,Haematocrit decreased,50.0
famotidine,etravirine,Dehydration,50.0
morphine,amifostine,Cardiac arrest,50.0
rosuvastatin,"insulin, aspart, human",Hypoglycaemic unconsciousness,50.0
hydralazine,haloperidol,Blood cholesterol increased,50.0
enalapril,gadoteridol,Musculoskeletal stiffness,50.0
formoterol,phenytoin,Eye swelling,50.0
enzalutamide,clopidogrel,Malignant neoplasm progression,50.0
iron,gabapentin,Skin induration,50.0
quinapril,ondansetron,Neuropathy peripheral,50.0
oxaliplatin,venlafaxine,Septic shock,50.0
daptomycin,"regular insulin, human",Blood creatinine increased,50.0
gentamicin,levofloxacin,Haematoma,50.0
lapatinib,domperidone,Palmar-plantar erythrodysaesthesia syndrome,50.0
enoxaparin,aprepitant,Mucosal inflammation,50.0
zopiclone,etravirine,Lymphadenopathy,50.0
ipratropium,amikacin,Thrombocytopenia,50.0
tramadol,fingolimod,Muscle spasticity,50.0
olanzapine,bimatoprost,Diabetes mellitus,50.0
hydralazine,latanoprost,Dehydration,50.0
scopolamine,haloperidol,Disorientation,50.0
denosumab,digoxin,Osteonecrosis of jaw,50.0
bupropion,lurasidone,Suicidal ideation,50.0
acetaminophen,coenzyme q10,Eosinophilia,50.0
metformin,abatacept,Carpal tunnel syndrome,50.0
sulfamethoxazole,terbinafine,Renal failure chronic,50.0
mitomycin,omeprazole,Dry mouth,50.0
tazobactam,tiotropium,Gamma-glutamyltransferase increased,50.0
modafinil,mirtazapine,Cellulitis,50.0
polyethylene glycol 3350,standardized senna concentrate,Pneumonia aspiration,50.0
maprotiline,paroxetine,Depressed level of consciousness,50.0
ipratropium,metaxalone,Weight decreased,50.0
rosiglitazone,levalbuterol,Atrial fibrillation,50.0
omeprazole,lomitapide,Hepatic enzyme increased,50.0
levodopa,fludrocortisone,Parkinson's disease,50.0
levodopa,lamotrigine,Movement disorder,50.0
mycophenolate mofetil,benzbromarone,Blood creatinine increased,50.0
levodopa,bisacodyl,Constipation,50.0
cyproheptadine,dexamethasone,Stomatitis,50.0
quetiapine,linagliptin,Hepatic function abnormal,50.0
pamidronate,piroxicam,Pain in jaw,50.0
lidocaine,flurbiprofen,Drug rash with eosinophilia and systemic symptoms,50.0
eptifibatide,sodium chloride,Tachycardia,50.0
bisacodyl,gemcitabine,Pleural effusion,50.0
zolmitriptan,frovatriptan,Suicidal ideation,50.0
piroxicam,meloxicam,Osteoarthritis,50.0
tramadol,etanercept,Joint instability,50.0
polyethylene glycol 3350,tacrolimus,Renal failure chronic,50.0
diosmin,carvedilol,Somnolence,50.0
insulin detemir,atenolol,Diabetes mellitus inadequate control,50.0
diclofenac,ketoprofen,Systemic inflammatory response syndrome,50.0
duloxetine,biotin,Sinusitis,50.0
econazole,acenocoumarol,International normalised ratio increased,50.0
insulin lispro,epoetin alfa,Fluid overload,50.0
diclofenac,topiramate,Restless legs syndrome,50.0
paclitaxel,insulin glargine,Pancytopenia,50.0
aspirin,"bcg, live, connaught strain",Haematuria,50.0
clotrimazole,anastrozole,Myalgia,50.0
fluindione,celecoxib,Melaena,50.0
"estrogens, esterified (usp)",trazodone,Herpes virus infection,50.0
folic acid,polysaccharide iron complex,Dysphagia,50.0
cefadroxil,digoxin,Atrial fibrillation,50.0
clopidogrel,epoprostenol,Pulmonary arterial hypertension,50.0
rosiglitazone,perindopril,Delusion,50.0
foscarnet,raltegravir,Pyrexia,50.0
clobetasol,pregabalin,Neuropathy peripheral,50.0
sotalol,pravastatin,Orthopnoea,50.0
cholestyramine resin,fentanyl,Dehydration,50.0
duloxetine,cilostazol,Urinary tract infection,50.0
pantoprazole,vitamin d3,Vitamin D deficiency,50.0
spironolactone,mesalamine,Colitis ulcerative,50.0
valacyclovir,pravastatin,Toxic skin eruption,50.0
epoetin alfa,ceftazidime,Metabolic acidosis,50.0
zolpidem,"insulin, aspart, human",Acute pulmonary oedema,50.0
citalopram,magnesium oxide,Malnutrition,50.0
gentamicin,clonidine,Renal failure chronic,50.0
mineral oil,ondansetron,Mental status changes,50.0
benzonatate,melphalan,Oedema peripheral,50.0
tranexamic acid,loxoprofen,Interstitial lung disease,50.0
hydrocodone,norgestimate,Cholecystitis chronic,50.0
"albumin human, usp",brotizolam,Platelet count decreased,50.0
diclofenac,desloratadine,Splenic rupture,50.0
carboplatin,diphenoxylate,Haemorrhoids,50.0
nitrazepam,prednisolone,Altered state of consciousness,50.0
diclofenac,chlorthalidone,Gastroenteritis,50.0
cefpodoxime,amitriptyline,Anxiety,50.0
cimetidine,rituximab,Neutropenia,50.0
clopidogrel,paclitaxel,Failure to thrive,50.0
interferon alfa-n1,sorafenib,Palmar-plantar erythrodysaesthesia syndrome,50.0
flunisolide,lansoprazole,Constipation,50.0
linagliptin,cromolyn,Asthma,50.0
albuterol,etodolac,Left ventricular hypertrophy,50.0
vitamin d,cisplatin,Hypocalcaemia,50.0
busulfan,vincristine,Portal vein thrombosis,50.0
potassium,adalimumab,Adhesion,50.0
pseudoephedrine,nystatin,Blood cholesterol increased,50.0
pantoprazole,eltrombopag,Pancytopenia,50.0
omalizumab,isosorbide,Asthenia,50.0
levodopa,clobetasol,Drug interaction,50.0
tamsulosin,ranitidine,Benign prostatic hyperplasia,50.0
propoxyphene,thalidomide,Osteomyelitis,50.0
aspirin,calcium citrate,Rhinitis allergic,50.0
fluoxetine,isosorbide dinitrate,Chronic obstructive pulmonary disease,50.0
tizanidine,flunitrazepam,Rhabdomyolysis,50.0
magnesium,vitamin b6,Dyspnoea exertional,50.0
sulpiride,trihexyphenidyl,Abnormal behaviour,50.0
ibuprofen,tetrazepam,Hyponatraemia,50.0
cilostazol,gemcitabine,Malignant neoplasm progression,50.0
quinapril,interferon beta-1a,Haematocrit decreased,50.0
aliskiren,mesalamine,Oedema peripheral,50.0
sucralfate,darbepoetin alfa,Cellulitis,50.0
oxaprozin,methocarbamol,Increased tendency to bruise,50.0
desipramine,trimethoprim,Renal failure,50.0
nefopam,allopurinol,Cholestasis,50.0
dimenhydrinate,iron,Ascites,50.0
tizanidine,ziprasidone,Diabetes mellitus inadequate control,50.0
hydrocortisone,carbocysteine,Hepatic function abnormal,50.0
valproate,bromazepam,Neuroleptic malignant syndrome,50.0
azithromycin,"insulin, isophane",Cellulitis,50.0
sulbactam,epoetin alfa,Cardiac failure congestive,50.0
nitrazepam,clarithromycin,Bradycardia,50.0
megestrol,trazodone,Respiratory rate increased,50.0
valacyclovir,olopatadine,Hypokalaemia,50.0
abacavir,peginterferon alfa-2b,Lactic acidosis,50.0
aspirin,"calcium carbonate, precipitated",Dysarthria,50.0
isoniazid,paroxetine,Serotonin syndrome,50.0
metoprolol,rituximab,Pituitary tumour,50.0
rosuvastatin,carvedilol,Hepatic haematoma,50.0
methylprednisolone,oxcarbazepine,Blood cholesterol increased,50.0
midazolam,temozolomide,International normalised ratio increased,50.0
hydrochlorothiazide,doxorubicin liposome,Respiratory failure,50.0
sulfamethoxazole,topotecan,Neutropenia,50.0
cilostazol,metoprolol,Angina unstable,50.0
ipratropium,sildenafil,Right ventricular failure,50.0
procyclidine,standardized senna concentrate,Lower respiratory tract infection,50.0
albuterol,meloxicam,Periodontal disease,50.0
psyllium,diltiazem,Economic problem,50.0
hydrochlorothiazide,daunorubicin,Interstitial lung disease,50.0
niacin,guanfacine,Flushing,50.0
sodium citrate,oxytocin,Cardiac arrest,50.0
botulinum toxin type a,citalopram,Dysphagia,50.0
diphenhydramine,chlorzoxazone,Respiratory arrest,50.0
esomeprazole,ixabepilone,Dehydration,50.0
lipase,cephalexin,Weight decreased,50.0
nitrazepam,alprazolam,Urinary retention,50.0
clonazepam,sirolimus,Deep vein thrombosis,50.0
peppermint oil,citalopram,Gynaecomastia,50.0
metoprolol,doxepin,Arteriosclerosis coronary artery,50.0
ipratropium,primidone,Urinary tract infection,50.0
hydralazine,aliskiren,Hyperglycaemia,50.0
naproxen,naratriptan,Migraine,50.0
diphenhydramine,teriparatide,Intervertebral disc protrusion,50.0
tramadol,nicardipine,Cholestasis,50.0
colistin,leucovorin,Multi-organ failure,50.0
rosiglitazone,tiotropium,Economic problem,50.0
gentamicin,cetirizine,Psychotic disorder,50.0
colchicine,hydroxyzine,Gout,50.0
omeprazole,manidipine,Melaena,50.0
vitamin b 12,venlafaxine,Osteopenia,50.0
ziconotide,valproate,Psychotic disorder,50.0
carisoprodol,lactulose,Liver disorder,50.0
desmopressin,ramipril,Malaise,50.0
escitalopram,meloxicam,Rotator cuff syndrome,50.0
pantoprazole,orlistat,Pharyngeal oedema,50.0
ferrous fumarate,ticagrelor,Rash maculo-papular,50.0
morphine,deferasirox,Leukocytosis,50.0
budesonide,isosorbide,Economic problem,50.0
misoprostol,quinine,Neuropathy peripheral,50.0
morphine,vemurafenib,Sunburn,50.0
losartan,oxygen,Atelectasis,50.0
doxycycline,allopurinol,Upper gastrointestinal haemorrhage,50.0
quetiapine,zidovudine,Type 2 diabetes mellitus,50.0
mitomycin,ondansetron,Blood phosphorus decreased,50.0
clobazam,hydroxyzine,Bradycardia,50.0
oxybutynin,pravastatin,Vitamin D decreased,50.0
thiamine,zolpidem,Fluid overload,50.0
ergocalciferol,glucosamine,Gastrooesophageal reflux disease,50.0
epirubicin,codeine,Acute kidney injury,50.0
pregabalin,etoposide,Encephalopathy,50.0
montelukast,fenspiride,Drug exposure during pregnancy,50.0
medroxyprogesterone,cyclobenzaprine,Economic problem,50.0
lidocaine,teriparatide,Joint dislocation,50.0
magnesium hydroxide,raloxifene,Osteopenia,50.0
trimetazidine,liraglutide,Visual impairment,50.0
loteprednol etabonate,zolpidem,Renal failure acute,50.0
enalapril,melphalan,Respiratory failure,50.0
levothyroxine,nadroparin,Sepsis,50.0
bortezomib,carbamazepine,Multiple myeloma,50.0
metolazone,zopiclone,Gastrointestinal haemorrhage,50.0
famotidine,cefditoren,Renal impairment,50.0
tramadol,clemastine,Toxic epidermal necrolysis,50.0
"insulin, aspart, human",pravastatin,Haemorrhagic anaemia,50.0
lansoprazole,"regular insulin, human",Economic problem,50.0
pseudoephedrine,zaleplon,Insomnia,50.0
lamivudine,temazepam,Hepatic enzyme increased,50.0
enalapril,clorazepate,Somnolence,50.0
potassium,ferrous sulfate,Haemorrhagic anaemia,50.0
opipramol,venlafaxine,Polydactyly,50.0
ceftriaxone,dipyrone,Clostridium difficile colitis,50.0
ibritumomab tiuxetan,magnesium oxide,White blood cell count decreased,50.0
citalopram,glucosamine,Economic problem,50.0
oxcarbazepine,primidone,Tremor,50.0
metoclopramide,carmustine,Erythema,50.0
ipratropium,amphotericin b,Blood creatinine increased,50.0
rofecoxib,gadopentetate dimeglumine,Gait disturbance,50.0
hydrochlorothiazide,dexketoprofen,Drug interaction,50.0
indapamide,acenocoumarol,International normalised ratio increased,50.0
sulfasalazine,rituximab,Bronchopneumonia,50.0
solifenacin,alprazolam,Cognitive disorder,50.0
albuterol,indomethacin,Ventricular extrasystoles,50.0
guaifenesin,vincristine,Cardiac failure congestive,50.0
olmesartan,azacitidine,Platelet count decreased,50.0
glutamine,doxorubicin,Respiratory disorder,50.0
hydrocortisone,trimethobenzamide,Constipation,50.0
potassium chloride,mifepristone,Hypotension,50.0
hydroxocobalamin,levothyroxine,Restlessness,50.0
loratadine,meperidine,Cellulitis,50.0
warfarin,lopinavir,Drug interaction,50.0
ropinirole,docetaxel,Pyrexia,50.0
lorazepam,sorafenib,Palmar-plantar erythrodysaesthesia syndrome,50.0
nitrofurantoin,acyclovir,Neutropenic sepsis,50.0
mometasone,triamcinolone,Ear discomfort,50.0
capecitabine,bendroflumethiazide,Hemiparesis,50.0
clonidine,"regular insulin, human",Renal failure chronic,50.0
"insulin, isophane",propranolol,Swollen tongue,50.0
ritonavir,heroin,Drug exposure during pregnancy,50.0
clopidogrel,oxytocin,Arrhythmia,50.0
vitamin d,memantine,Laceration,50.0
atorvastatin,cimetidine,Torsade de pointes,50.0
metaraminol,ondansetron,Lung infection,50.0
amlodipine,vismodegib,Ageusia,50.0
didanosine,acyclovir,Hypophosphataemia,50.0
potassium,prednisolone,Altered state of consciousness,50.0
fluticasone,oxybutynin,Intervertebral disc degeneration,50.0
ribavirin,amoxicillin,Neutropenia,50.0
pegfilgrastim,alendronate,Bone pain,50.0
valsartan,palonosetron,Febrile neutropenia,50.0
valsartan,etoposide,Neutropenia,50.0
atropine,temazepam,Atrial fibrillation,50.0
aluminum hydroxide,ofloxacin,Toxic epidermal necrolysis,50.0
vitamin k 1,heparin,Shock,50.0
diltiazem,etodolac,Cellulitis,50.0
rabeprazole,tegaserod,Stent placement,50.0
morphine,minocycline,Ascites,50.0
propofol,metolazone,Fear,50.0
fentanyl,azathioprine,Mouth ulceration,50.0
chlorthalidone,baclofen,Pneumonia aspiration,50.0
esomeprazole,modafinil,Osteopenia,50.0
nicorandil,omeprazole,Myositis,50.0
fluoxetine,penicillin,Spinal osteoarthritis,50.0
cyclosporine,calcifediol,Leukopenia,50.0
propranolol,urapidil,Hypertension,50.0
ramipril,cyamemazine,Cholestasis,50.0
magnesium hydroxide,phenolphthalein,Constipation,50.0
ciclopirox,diltiazem,Hypertension,50.0
dexmethylphenidate,trazodone,Aggression,50.0
doxycycline,nebivolol,Hot flush,50.0
sulfasalazine,temazepam,Chronic obstructive pulmonary disease,50.0
lidocaine,dihydrocodeine,Anaphylactic reaction,50.0
lisinopril,mifepristone,Blood potassium decreased,50.0
duloxetine,metolazone,Renal failure chronic,50.0
nitroglycerin,etravirine,Vomiting,50.0
aripiprazole,felodipine,Type 2 diabetes mellitus,50.0
lamivudine,lisinopril,Tricuspid valve incompetence,50.0
carbidopa,carbamazepine,Hypertension,50.0
esomeprazole,iron,Nephrogenic systemic fibrosis,50.0
bromhexine,meloxicam,Sepsis,50.0
deflazacort,calcium,Osteoporosis,50.0
sucralfate,benzonatate,Gastrooesophageal reflux disease,50.0
loxapine,trimeprazine,Electrocardiogram QT prolonged,50.0
leuprolide,vitamin b complex,Hot flush,50.0
prednisolone,palivizumab,Pneumonia,50.0
finasteride,pravastatin,Hip arthroplasty,50.0
prednisone,nelfinavir,Drug exposure during pregnancy,50.0
topiramate,clomipramine,Sedation,50.0
varenicline,rofecoxib,Depression,50.0
phenprocoumon,cholecalciferol,Sepsis,50.0
duloxetine,lenalidomide,Vitamin B12 deficiency,50.0
"sennosides, usp",moxifloxacin,Platelet count decreased,50.0
selegiline,buprenorphine,Emotional distress,50.0
doxycycline,cetuximab,Pancreatitis acute,50.0
albuterol,rifampin,Arrhythmia,50.0
atropine,calcium chloride,Blood pressure decreased,50.0
voriconazole,amsacrine,Respiratory failure,50.0
furosemide,cholestyramine resin,Metabolic acidosis,50.0
rosuvastatin,natalizumab,Multiple sclerosis,50.0
quinapril,fluvastatin,Tendon rupture,50.0
dipyridamole,mycophenolate mofetil,Drug level increased,50.0
butalbital,irbesartan,Poisoning,50.0
alendronate,chondroitin sulfates,Spinal osteoarthritis,50.0
panobinostat,lenalidomide,Neutropenia,50.0
amifostine,fentanyl,White blood cell count decreased,50.0
ferrous gluconate,prednisone,Tubulointerstitial nephritis,50.0
nadolol,rabeprazole,Hyponatraemia,50.0
norfloxacin,cefuroxime,Pyrexia,50.0
vitamin b 12,butalbital,Migraine,50.0
geranylgeranylacetone,itraconazole,Platelet count decreased,50.0
folic acid,iron,Aortic calcification,50.0
diazepam,nicardipine,Drug rash with eosinophilia and systemic symptoms,50.0
dalfampridine,iron,Memory impairment,50.0
topiramate,atenolol,Sinus headache,50.0
dipyridamole,dobutamine,Emotional distress,50.0
lovastatin,pregabalin,Feeling drunk,50.0
warfarin,doxepin,Respiratory arrest,50.0
"sennosides, usp",paclitaxel,Atelectasis,50.0
salmeterol,ferrous gluconate,Musculoskeletal pain,50.0
meropenem,ticlopidine,Liver disorder,50.0
quinapril,bosentan,Liver function test abnormal,50.0
hydrochlorothiazide,lamotrigine,Benign prostatic hyperplasia,50.0
ranitidine,atenolol,Umbilical hernia,50.0
cinacalcet,propoxyphene,Joint range of motion decreased,50.0
ibuprofen,oxymorphone,Unresponsive to stimuli,50.0
ferrous sulfate,thalidomide,Bone disorder,50.0
aspirin,glipizide,Hepatic haematoma,50.0
dimenhydrinate,trazodone,Neutropenia,50.0
ramipril,loratadine,Pericarditis,50.0
acetaminophen,polyethylene glycol 400,Chest discomfort,50.0
dutasteride,acenocoumarol,Hyperkalaemia,50.0
acarbose,nicardipine,Hypoglycaemia,50.0
aspirin,ado-trastuzumab emtansine,Constipation,50.0
losartan,temsirolimus,Dehydration,50.0
mometasone,arformoterol,Dyspepsia,50.0
enalapril,ketoconazole,Nasal congestion,50.0
diazepam,etomidate,Renal failure,50.0
pentazocine,levofloxacin,Constipation,50.0
flurazepam,buspirone,Completed suicide,50.0
benazepril,bumetanide,Anhedonia,50.0
buprenorphine,methyldopa,Dehydration,50.0
ranitidine,vitamin d3,Gastritis,50.0
docusate,amifostine,Hypotension,50.0
ezetimibe,codeine,International normalised ratio increased,50.0
travoprost,fentanyl,Gynaecomastia,50.0
clavulanate,cholecalciferol,Pancytopenia,50.0
nitroglycerin,picosulfate sodium,Confusional state,50.0
fluoxetine,doxycycline,Drug dependence,50.0
timolol,guaifenesin,Hypertension,50.0
eplerenone,sitagliptin,Blood lactic acid increased,50.0
crizotinib,lorazepam,Hypoxia,50.0
potassium chloride,leflunomide,Lung neoplasm,50.0
famotidine,indapamide,Anorexia,50.0
bumetanide,naproxen,Anger,50.0
prochlorperazine,lipase,Hypophagia,50.0
fluocinolone,triamcinolone,Bronchitis,50.0
sofosbuvir,atorvastatin,Rhabdomyolysis,50.0
oxaliplatin,loratadine,Neuropathy peripheral,50.0
nystatin,penicillin,Hypokalaemia,50.0
quetiapine,clothiapine,Intentional overdose,50.0
medroxyprogesterone,magnesium hydroxide,Depression,50.0
sulpiride,alprazolam,Blood uric acid increased,50.0
pemetrexed,naproxen,Interstitial lung disease,50.0
captopril,haloperidol,Arrhythmia,50.0
escitalopram,methylphenidate,Attention deficit/hyperactivity disorder,50.0
benazepril,anastrozole,Carpal tunnel syndrome,50.0
cinacalcet,ondansetron,Tachycardia,50.0
lenalidomide,metoclopramide,Intervertebral disc degeneration,50.0
zolpidem,potassium gluconate,Gait disturbance,50.0
acetylcysteine,levofloxacin,Lobar pneumonia,50.0
chlordiazepoxide,ziprasidone,Convulsion,50.0
glipizide,"insulin human, rdna origin",Blood glucose increased,50.0
benserazide,clopidogrel,Hyponatraemia,50.0
ondansetron,sodium polystyrene sulfonate,Leukopenia,50.0
calcium carbonate,doxorubicin liposome,Neuropathy peripheral,50.0
hydromorphone,metaxalone,Dysuria,50.0
darbepoetin alfa,oprelvekin,Pancytopenia,50.0
albuterol,pegfilgrastim,Chronic obstructive pulmonary disease,50.0
ondansetron,"insulin, aspart, human",Candidiasis,50.0
terbinafine,ondansetron,Atrial fibrillation,50.0
ibandronate,clopidogrel,Bone disorder,50.0
ascorbic acid,theophylline,Chronic obstructive pulmonary disease,50.0
ondansetron,ursodeoxycholate,Oxygen saturation decreased,50.0
diphenhydramine,domperidone,Accidental overdose,50.0
azathioprine,itraconazole,Mitral valve incompetence,50.0
acetaminophen,fenspiride,Bone marrow failure,50.0
phentermine,levofloxacin,Cholecystitis chronic,50.0
isosorbide dinitrate,clarithromycin,Arrhythmia,50.0
lidocaine,sodium citrate,Drug exposure during pregnancy,50.0
vigabatrin,clorazepate,Convulsion,50.0
hydrochlorothiazide,norethindrone,Hot flush,50.0
methamphetamine,propoxyphene,Cardiomegaly,50.0
sulfasalazine,risedronate,Agranulocytosis,50.0
dipyridamole,clonidine,Unresponsive to stimuli,50.0
metformin,mometasone,Sinus congestion,50.0
epinephrine,benzonatate,Oropharyngeal pain,50.0
amlodipine,povidone-iodine,Depressed level of consciousness,50.0
estradiol,terbinafine,Dysgeusia,50.0
loperamide,irbesartan,Hypomagnesaemia,50.0
olanzapine,alfuzosin,Rhabdomyolysis,50.0
cefotiam,piperacillin,C-reactive protein increased,50.0
candesartan,ceftriaxone,Renal tubular necrosis,50.0
sucralfate,sodium chloride,Mucosal inflammation,50.0
domperidone,amphotericin b,Neutropenia,50.0
folic acid,ergocalciferol,Drug delivery system malfunction,50.0
ritonavir,labetalol,Depressed level of consciousness,50.0
calcium,hydroxychloroquine,Candida infection,50.0
